Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastp | SRR30333767_2	SRR30333767_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41780826.0	0.0	30-151	49.0	36.24004535630574	139.97980681377626	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastp | SRR30333768_1	SRR30333768_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41145131.0	0.0	30-151	49.0	36.15618683122905	137.337458519697	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR30333768_2	SRR30333768_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41145131.0	0.0	30-151	49.0	37.64988191788628	137.33265838915423	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
qc_bundle_trimmed | SRR30333743_1	SRR30333743_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50095819.0	0.0	118-151	53.0	29.943572650157062	150.73182147196755	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	fail
qc_bundle_trimmed | SRR30333743_2	SRR30333743_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50095819.0	0.0	80-151	53.0	28.14723686649015	150.35239650438692	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	fail
qc_bundle_trimmed | SRR30333744_1	SRR30333744_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45278477.0	0.0	111-151	53.0	36.25352351978061	150.8112148295094	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333744_2	SRR30333744_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45278477.0	0.0	80-151	54.0	35.78551104540189	150.37762419659123	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	fail
qc_bundle_trimmed | SRR30333745_1	SRR30333745_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47813388.0	0.0	120-151	53.0	33.544724717816976	150.76746402074664	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333745_2	SRR30333745_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47813388.0	0.0	75-151	54.0	32.20055290977823	150.37716507351456	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	fail
qc_bundle_trimmed | SRR30333746_1	SRR30333746_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42216035.0	0.0	121-151	53.0	37.923483549343906	150.79293597799983	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
