Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
fastp | SRR30333762_2	(1.0, 23.578917159831136)	(2.0, 10.68219211331853)	(3.0, 7.18312228808951)	(4.0, 5.378091591961767)	(5.0, 4.115536011772891)	(6.0, 3.34234827295773)	(7.0, 2.764645111226667)	(8.0, 2.4290762373195727)	(9.0, 1.9557842292991865)	('>10', 22.344062640772147)	('>50', 5.334765074955977)	('>100', 7.3396475719438445)	('>500', 1.8108514678578806)	('>1k', 1.649951524373153)	('>5k', 0.09100870431975652)	('>10k+', 0.0)
fastp | SRR30333763_1	(1.0, 22.549693398566042)	(2.0, 9.863621824155729)	(3.0, 6.551925266126125)	(4.0, 4.979277408510185)	(5.0, 3.9482831165809515)	(6.0, 3.1660247209661145)	(7.0, 2.713222259545142)	(8.0, 2.284945430101888)	(9.0, 2.0031547302315182)	('>10', 23.72906791830592)	('>50', 6.155306329748786)	('>100', 8.176634041944059)	('>500', 1.7927318491265005)	('>1k', 1.9153762881612195)	('>5k', 0.1707354179295109)	('>10k+', 0.0)
fastp | SRR30333763_2	(1.0, 22.653330521219445)	(2.0, 10.861432443737424)	(3.0, 7.380514167620224)	(4.0, 5.61503440788061)	(5.0, 4.181219830015027)	(6.0, 3.53922097264864)	(7.0, 2.8286012586821245)	(8.0, 2.4113909962924254)	(9.0, 1.996970291803697)	('>10', 22.420515284206576)	('>50', 5.348797888887368)	('>100', 7.439003418211169)	('>500', 1.7474765253997655)	('>1k', 1.4959050315811175)	('>5k', 0.08058696181411006)	('>10k+', 0.0)
fastp | SRR30333764_1	(1.0, 23.512462772359132)	(2.0, 10.245167863557745)	(3.0, 6.850858700626632)	(4.0, 4.998620147611546)	(5.0, 4.137754715285901)	(6.0, 3.1655292200164795)	(7.0, 2.693042831247614)	(8.0, 2.259228995273789)	(9.0, 1.9746907629267367)	('>10', 22.586584635295534)	('>50', 5.856123677005861)	('>100', 7.849322365229332)	('>500', 1.8259101838318408)	('>1k', 1.9431280515357832)	('>5k', 0.10157507819622708)	('>10k+', 0.0)
fastp | SRR30333764_2	(1.0, 23.33096831262062)	(2.0, 11.00005800235166)	(3.0, 7.664770767694552)	(4.0, 5.390805773156139)	(5.0, 4.218620042252517)	(6.0, 3.4223101090534676)	(7.0, 2.9001374858956517)	(8.0, 2.372750612435672)	(9.0, 1.9426815687923114)	('>10', 21.805397169749323)	('>50', 5.230689316780255)	('>100', 7.302543044284702)	('>500', 1.8234355714953805)	('>1k', 1.5680083055130305)	('>5k', 0.026823917924609558)	('>10k+', 0.0)
fastp | SRR30333765_1	(1.0, 26.449444344534022)	(2.0, 9.905381259170058)	(3.0, 6.570115682584687)	(4.0, 4.885731968175469)	(5.0, 3.717783219098372)	(6.0, 3.0549485466643453)	(7.0, 2.5280993391530906)	(8.0, 2.1253259918280354)	(9.0, 1.9459036174517022)	('>10', 22.52173555807671)	('>50', 5.707391926218782)	('>100', 7.4503218148004136)	('>500', 1.5608412042287159)	('>1k', 1.5090560590193631)	('>5k', 0.06791946899622914)	('>10k+', 0.0)
fastp | SRR30333765_2	(1.0, 24.576603550647796)	(2.0, 10.660144375300415)	(3.0, 7.36212610671817)	(4.0, 5.3804408545962765)	(5.0, 4.2515171969177725)	(6.0, 3.3816719847093912)	(7.0, 2.7882700672230554)	(8.0, 2.332854996778881)	(9.0, 2.0333182456597947)	('>10', 21.990999361892378)	('>50', 5.425787619494485)	('>100', 7.030616731818867)	('>500', 1.575385516001207)	('>1k', 1.2102633922416004)	('>5k', 0.0)	('>10k+', 0.0)
fastp | SRR30333766_1	(1.0, 22.697497404923496)	(2.0, 9.984037590683549)	(3.0, 6.506659811773491)	(4.0, 4.904019695452064)	(5.0, 3.95777641907335)	(6.0, 3.127465462022452)	(7.0, 2.7089255513194423)	(8.0, 2.2723117851902264)	(9.0, 2.0206728864003796)	('>10', 23.109099179815708)	('>50', 6.002067809351231)	('>100', 8.267090492981078)	('>500', 1.8592141980781292)	('>1k', 2.3221806069135327)	('>5k', 0.2127899386765265)	('>10k+', 0.048191167345442654)
fastp | SRR30333766_2	(1.0, 22.355488404137517)	(2.0, 10.79676338447231)	(3.0, 7.2294951537259085)	(4.0, 5.503322663157004)	(5.0, 4.153078224339104)	(6.0, 3.348491485768738)	(7.0, 2.7610341317852396)	(8.0, 2.3285525208984725)	(9.0, 2.0143709316902987)	('>10', 22.251328421133447)	('>50', 5.417541880413411)	('>100', 7.809362931321822)	('>500', 1.9277459392066005)	('>1k', 1.97632068008837)	('>5k', 0.127103247861675)	('>10k+', 0.0)
fastp | SRR30333767_1	(1.0, 23.536439948523526)	(2.0, 10.012618920049878)	(3.0, 6.7225080186784565)	(4.0, 5.047605992845006)	(5.0, 3.9743671789717614)	(6.0, 3.221267860776686)	(7.0, 2.690356116055557)	(8.0, 2.3318765511136683)	(9.0, 2.0346255522452026)	('>10', 23.112532463260358)	('>50', 5.882225710588847)	('>100', 7.993609640870164)	('>500', 1.6436837594117644)	('>1k', 1.7087366813132294)	('>5k', 0.08754560529592799)	('>10k+', 0.0)
fastp | SRR30333767_2	(1.0, 23.363949139333197)	(2.0, 10.614894123413773)	(3.0, 7.453965697242153)	(4.0, 5.33428072018074)	(5.0, 4.2531161821282994)	(6.0, 3.558169185736227)	(7.0, 2.8518625177163948)	(8.0, 2.3060811437575395)	(9.0, 2.103195886348326)	('>10', 22.43063045349725)	('>50', 5.394872752077711)	('>100', 7.245800820168635)	('>500', 1.68480713447605)	('>1k', 1.3659477925961112)	('>5k', 0.03842645132751629)	('>10k+', 0.0)
fastp | SRR30333768_1	(1.0, 24.339346154452173)	(2.0, 10.217360082440813)	(3.0, 6.392944507634047)	(4.0, 4.747560805384935)	(5.0, 3.6441944026214426)	(6.0, 2.9129732682686336)	(7.0, 2.411363684483849)	(8.0, 2.1892795409744203)	(9.0, 1.8628047023401557)	('>10', 22.176362286709978)	('>50', 5.934699034840424)	('>100', 8.287958076969097)	('>500', 2.0804668368930397)	('>1k', 2.480654139878367)	('>5k', 0.24279983386413978)	('>10k+', 0.07923264224423542)
fastp | SRR30333768_2	(1.0, 25.20713806021821)	(2.0, 10.680622529389074)	(3.0, 7.078040773694679)	(4.0, 5.114980424494879)	(5.0, 4.066998085640798)	(6.0, 3.1139225706798404)	(7.0, 2.573146120723741)	(8.0, 2.2067818263690526)	(9.0, 1.8556403278634601)	('>10', 20.92538030898341)	('>50', 5.335573546681178)	('>100', 7.560812897537496)	('>500', 1.985535437327341)	('>1k', 2.199928821148265)	('>5k', 0.09549826924870242)	('>10k+', 0.0)
