Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
fastp | SRR30333760_1	(30, 806.0)	(35, 1603.0)	(40, 2830.0)	(45, 4903.0)	(50, 7962.0)	(55, 12254.0)	(60, 20011.0)	(65, 31378.0)	(70, 51822.0)	(75, 82548.0)	(80, 132636.0)	(85, 210810.0)	(90, 323794.0)	(95, 477943.0)	(100, 670057.0)	(105, 899172.0)	(110, 1127879.0)	(115, 1352118.0)	(120, 1537831.0)	(125, 1672105.0)	(130, 1766438.0)	(135, 1801790.0)	(140, 1831635.0)	(145, 1904585.0)	(150, 24725356.0)
fastp | SRR30333760_2	(30, 1006.0)	(35, 1851.0)	(40, 3092.0)	(45, 5234.0)	(50, 8340.0)	(55, 12637.0)	(60, 20456.0)	(65, 31885.0)	(70, 52461.0)	(75, 83187.0)	(80, 133325.0)	(85, 211372.0)	(90, 324289.0)	(95, 478189.0)	(100, 669912.0)	(105, 898403.0)	(110, 1126392.0)	(115, 1349972.0)	(120, 1534885.0)	(125, 1669127.0)	(130, 1764499.0)	(135, 1801839.0)	(140, 1846057.0)	(145, 1989570.0)	(150, 24632286.0)
fastp | SRR30333761_1	(30, 1234.0)	(35, 2599.0)	(40, 4762.0)	(45, 7729.0)	(50, 13063.0)	(55, 19074.0)	(60, 30011.0)	(65, 45774.0)	(70, 72760.0)	(75, 114330.0)	(80, 178815.0)	(85, 278649.0)	(90, 418793.0)	(95, 605953.0)	(100, 829821.0)	(105, 1084264.0)	(110, 1329569.0)	(115, 1560266.0)	(120, 1725543.0)	(125, 1842791.0)	(130, 1909376.0)	(135, 1920991.0)	(140, 1918849.0)	(145, 1998999.0)	(150, 23676534.0)
fastp | SRR30333761_2	(30, 1534.0)	(35, 2952.0)	(40, 5159.0)	(45, 8152.0)	(50, 13547.0)	(55, 19617.0)	(60, 30622.0)	(65, 46470.0)	(70, 73527.0)	(75, 115092.0)	(80, 179617.0)	(85, 279393.0)	(90, 419389.0)	(95, 606298.0)	(100, 829688.0)	(105, 1083450.0)	(110, 1328102.0)	(115, 1558221.0)	(120, 1722833.0)	(125, 1840126.0)	(130, 1907865.0)	(135, 1920552.0)	(140, 1925289.0)	(145, 2027800.0)	(150, 23645254.0)
fastp | SRR30333762_1	(30, 786.0)	(35, 1606.0)	(40, 2881.0)	(45, 5197.0)	(50, 8720.0)	(55, 13155.0)	(60, 21463.0)	(65, 33865.0)	(70, 56143.0)	(75, 90929.0)	(80, 144240.0)	(85, 230136.0)	(90, 349519.0)	(95, 513104.0)	(100, 711121.0)	(105, 939825.0)	(110, 1162316.0)	(115, 1369793.0)	(120, 1532052.0)	(125, 1645911.0)	(130, 1720452.0)	(135, 1740537.0)	(140, 1754082.0)	(145, 1832417.0)	(150, 24297703.0)
fastp | SRR30333762_2	(30, 963.0)	(35, 1838.0)	(40, 3149.0)	(45, 5532.0)	(50, 9101.0)	(55, 13584.0)	(60, 21926.0)	(65, 34444.0)	(70, 56749.0)	(75, 91621.0)	(80, 144869.0)	(85, 230713.0)	(90, 350197.0)	(95, 513516.0)	(100, 711119.0)	(105, 939219.0)	(110, 1161209.0)	(115, 1368243.0)	(120, 1530135.0)	(125, 1643797.0)	(130, 1719243.0)	(135, 1741018.0)	(140, 1765618.0)	(145, 1893366.0)	(150, 24226784.0)
fastp | SRR30333763_1	(30, 1020.0)	(35, 1940.0)	(40, 3607.0)	(45, 6094.0)	(50, 10546.0)	(55, 16042.0)	(60, 26977.0)	(65, 42466.0)	(70, 70355.0)	(75, 113508.0)	(80, 182055.0)	(85, 286227.0)	(90, 430630.0)	(95, 623501.0)	(100, 852270.0)	(105, 1104837.0)	(110, 1340797.0)	(115, 1550752.0)	(120, 1711631.0)	(125, 1810374.0)	(130, 1871257.0)	(135, 1876337.0)	(140, 1875828.0)	(145, 1915579.0)	(150, 24840466.0)
fastp | SRR30333763_2	(30, 1217.0)	(35, 2181.0)	(40, 3919.0)	(45, 6467.0)	(50, 10954.0)	(55, 16527.0)	(60, 27487.0)	(65, 43070.0)	(70, 71013.0)	(75, 114186.0)	(80, 182743.0)	(85, 286762.0)	(90, 431009.0)	(95, 623531.0)	(100, 851718.0)	(105, 1103497.0)	(110, 1338509.0)	(115, 1547829.0)	(120, 1708087.0)	(125, 1806745.0)	(130, 1869096.0)	(135, 1876862.0)	(140, 1890906.0)	(145, 1998814.0)	(150, 24751967.0)
fastp | SRR30333764_1	(30, 968.0)	(35, 1951.0)	(40, 3562.0)	(45, 6118.0)	(50, 10141.0)	(55, 15197.0)	(60, 24918.0)	(65, 37500.0)	(70, 60429.0)	(75, 95504.0)	(80, 149458.0)	(85, 233722.0)	(90, 352713.0)	(95, 515498.0)	(100, 716547.0)	(105, 951709.0)	(110, 1189430.0)	(115, 1418714.0)	(120, 1603338.0)	(125, 1739223.0)	(130, 1829215.0)	(135, 1860162.0)	(140, 1876753.0)	(145, 1933095.0)	(150, 23653865.0)
fastp | SRR30333764_2	(30, 1163.0)	(35, 2225.0)	(40, 3900.0)	(45, 6486.0)	(50, 10628.0)	(55, 15673.0)	(60, 25436.0)	(65, 38119.0)	(70, 61207.0)	(75, 96231.0)	(80, 150089.0)	(85, 234386.0)	(90, 353290.0)	(95, 515897.0)	(100, 716435.0)	(105, 950917.0)	(110, 1188068.0)	(115, 1416773.0)	(120, 1600794.0)	(125, 1736572.0)	(130, 1827414.0)	(135, 1860367.0)	(140, 1888239.0)	(145, 1994132.0)	(150, 23585289.0)
