Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
reports | SRR30333754	19.5001	94.695	12232.842039	97.662886	53.1303	95.57583472739184	57.256026061309605	151.0	151.0						
reports | SRR30333755	15.182699999999999	93.6514	9450.502440999999	77.20392	52.9075	96.175736138672	61.16791876881575	151.0	151.0						
reports | SRR30333756	24.563	94.63390000000001	12528.096185	95.35633	52.526399999999995	95.7835514589011	44.443828921260916	151.0	151.0						
reports | SRR30333757	10.216899999999999	91.3103	11530.967745	89.927674	49.4263	99.44541573859235	40.19438415785701	151.0	151.0						
reports | SRR30333758	10.8218	91.1543	10355.781848999999	80.245064	49.717800000000004	99.1867349327627	34.56590372028139	151.0	151.0						
reports | SRR30333759	10.261099999999999	91.4979	10953.35372	85.19201	48.8804	99.59208074242993	39.880748106742985	151.0	151.0						
reports | SRR30333760	9.73253	91.58760000000001	10483.035793	81.30053199999999	49.442	99.47366661744812	39.470713994059615	151.0	151.0						
reports | SRR30333761	9.6541	91.3105	10575.661734	83.18109799999999	49.6239	99.39329546464509	43.26408531259161	151.0	151.0						
reports | SRR30333762	10.0879	91.6983	10348.024501	80.35590599999999	49.316900000000004	99.47969567467085	39.77407178462048	151.0	151.0						
reports | SRR30333763	10.292	92.2073	10951.834384	85.130192	49.4458	99.34845161358537	41.912844214533635	151.0	151.0						
reports | SRR30333764	9.79168	92.0256	10384.185975999999	80.55946	49.561	99.42525743798105	41.60475687387222	151.0	151.0						
reports | SRR30333765	8.53121	90.97380000000001	10248.905934	80.2127	49.5141	99.36051195115229	40.16066627496911	151.0	151.0						
reports | SRR30333766	10.6832	92.1945	11564.731302	89.422856	49.4033	99.32623817275771	41.04881358808852	151.0	151.0						
reports | SRR30333767	9.47255	91.6032	10715.755808	83.561652	49.6178	99.3071455093783	41.63398762407384	151.0	151.0						
reports | SRR30333768	10.1946	90.5892	10238.2298	82.290262	49.680600000000005	99.15614760133018	46.65839183194044	151.0	151.0						
