stage,report_id,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,pbq_min_10th,pbq_min_mean,adapter_max,deduplicated_pct,sample,read
trimmed,SRR30333751_2,SRR30333751_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,55234926,0,80-151,52,24.0,36.08768621789811,36.43200680670777,35.61540352571399,SRR30333751,2
trimmed,SRR30333752_1,SRR30333752_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,59339030,0,118-151,52,24.0,37.52000220250652,31.85324903356189,36.519360198615985,SRR30333752,1
trimmed,SRR30333752_2,SRR30333752_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,59339030,0,80-151,52,24.0,36.143473637146755,31.86000175601118,35.78575638611787,SRR30333752,2
trimmed,SRR30333753_1,SRR30333753_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40311762,0,119-151,53,24.0,36.65753674160633,46.555429653509066,36.35170987156243,SRR30333753,1
trimmed,SRR30333753_2,SRR30333753_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40311762,0,88-151,53,16.8,35.300482505184206,46.65650685276421,34.50516533258807,SRR30333753,2
trimmed,SRR30333754_1,SRR30333754_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,51091830,0,118-151,52,24.0,36.95595862482469,44.868886082177916,30.81598804849176,SRR30333754,1
trimmed,SRR30333754_2,SRR30333754_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,51091830,0,75-151,54,21.6,35.48029044388742,45.08971982408929,30.060343801242155,SRR30333754,2
trimmed,SRR30333755_1,SRR30333755_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40136901,0,103-151,53,24.0,36.29783499442935,48.280817694420406,33.86979369755573,SRR30333755,1
trimmed,SRR30333755_2,SRR30333755_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40136901,0,86-151,53,12.0,34.71438108431039,48.60427066853019,31.754791510829094,SRR30333755,2
trimmed,SRR30333756_1,SRR30333756_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,49776986,0,116-151,52,24.0,37.819255126570525,32.40337211256624,29.739155761704428,SRR30333756,1
trimmed,SRR30333756_2,SRR30333756_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,49776986,0,84-151,53,24.0,35.99011297918557,32.48929937220385,28.968642135665114,SRR30333756,2
trimmed,SRR30333757_1,SRR30333757_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45214590,0,56-151,49,25.0,34.71712479851463,28.853580227090415,35.52888209449138,SRR30333757,1
trimmed,SRR30333757_2,SRR30333757_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45214441,0,30-151,49,25.0,34.25758527829396,29.050521712742174,35.85761079291436,SRR30333757,2
trimmed,SRR30333758_1,SRR30333758_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40451510,0,39-151,49,25.0,34.59872782269947,25.050132862778177,34.5013749142283,SRR30333758,1
trimmed,SRR30333758_2,SRR30333758_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40451272,0,30-151,49,25.0,34.35930416206857,25.528915382438406,35.89118805742042,SRR30333758,2
trimmed,SRR30333759_1,SRR30333759_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42770472,0,38-151,49,25.0,34.671185875902964,28.76927801965805,35.48933525366398,SRR30333759,1
trimmed,SRR30333759_2,SRR30333759_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42770418,0,30-151,49,25.0,34.277524014258844,28.800097300896148,35.62369143428397,SRR30333759,2
trimmed,SRR30333760_1,SRR30333760_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40865354,0,37-151,49,25.0,34.981002199040475,28.686870056233943,34.7783746969823,SRR30333760,1
trimmed,SRR30333760_2,SRR30333760_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40865285,0,30-151,49,25.0,34.16977149537186,28.21422143513743,36.04312272014808,SRR30333760,2
trimmed,SRR30333761_1,SRR30333761_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41844421,0,66-151,49,25.0,34.54840467445627,31.9011750694316,37.47836399049046,SRR30333761,1
trimmed,SRR30333761_2,SRR30333761_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41844175,0,30-151,49,25.0,34.35463483855343,31.915001311413118,36.24747333310105,SRR30333761,2
trimmed,SRR30333762_1,SRR30333762_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40388094,0,47-151,49,25.0,34.69722614854389,27.724598739420582,34.83281828716763,SRR30333762,1
trimmed,SRR30333762_2,SRR30333762_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40387963,0,30-151,49,25.0,34.43317945977418,28.97347905364774,36.2500977514244,SRR30333762,2
trimmed,SRR30333763_1,SRR30333763_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42844247,0,33-151,49,25.0,35.05872688304521,31.307386496954887,34.23492245996461,SRR30333763,1
trimmed,SRR30333763_2,SRR30333763_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42844155,0,30-151,49,25.0,34.27286566094349,30.858795091185716,35.673103858865176,SRR30333763,2
trimmed,SRR30333764_1,SRR30333764_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40512573,0,56-151,49,25.0,34.89348123611957,30.313887987316924,35.437114284951306,SRR30333764,1
trimmed,SRR30333764_2,SRR30333764_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40512475,0,30-151,49,25.0,34.35458844271778,30.099600184881325,36.37102439309899,SRR30333764,2
trimmed,SRR30333765_1,SRR30333765_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40364475,0,32-151,49,25.0,34.44869563415482,28.849174924237214,38.06785514659004,SRR30333765,1
trimmed,SRR30333765_2,SRR30333765_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40364203,0,30-151,49,25.0,34.22530774336683,28.926001586108363,37.38322188604993,SRR30333765,2
trimmed,SRR30333766_1,SRR30333766_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45014719,0,47-151,49,25.0,35.14901147955051,29.87593458042024,34.48889579259558,SRR30333766,1
trimmed,SRR30333766_2,SRR30333766_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45014642,0,30-151,49,25.0,34.29012574231439,29.499530397242747,35.29751959927878,SRR30333766,2
trimmed,SRR30333767_1,SRR30333767_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42072326,0,34-151,49,25.0,34.71459889343843,30.2297215514065,35.37781937809531,SRR30333767,1
trimmed,SRR30333767_2,SRR30333767_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42072166,0,30-151,49,25.0,34.171426249620275,30.02306322902415,36.11043578095398,SRR30333767,2
trimmed,SRR30333768_1,SRR30333768_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41495290,0,38-151,49,25.0,34.33637846480442,35.43009580123431,35.877409147463894,SRR30333768,1
trimmed,SRR30333768_2,SRR30333768_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41494831,0,30-151,49,25.0,34.06315632748719,35.52641291634613,37.71209860638325,SRR30333768,2
