stage,srr,module_key,module,status,severity_score
raw,SRR30333764,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333764,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333764,per_tile_sequence_quality,Per tile sequence quality,pass,0
raw,SRR30333764,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333764,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333765,adapter_content,Adapter Content,fail,3
raw,SRR30333765,basic_statistics,Basic Statistics,pass,0
raw,SRR30333765,overrepresented_sequences,Overrepresented sequences,pass,0
raw,SRR30333765,per_base_n_content,Per base N content,pass,0
raw,SRR30333765,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333765,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333765,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333765,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333765,per_tile_sequence_quality,Per tile sequence quality,pass,0
raw,SRR30333765,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333765,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333766,adapter_content,Adapter Content,fail,3
raw,SRR30333766,basic_statistics,Basic Statistics,pass,0
raw,SRR30333766,overrepresented_sequences,Overrepresented sequences,pass,0
raw,SRR30333766,per_base_n_content,Per base N content,pass,0
raw,SRR30333766,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333766,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333766,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333766,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333766,per_tile_sequence_quality,Per tile sequence quality,pass,0
raw,SRR30333766,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333766,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333767,adapter_content,Adapter Content,fail,3
raw,SRR30333767,basic_statistics,Basic Statistics,pass,0
raw,SRR30333767,overrepresented_sequences,Overrepresented sequences,pass,0
raw,SRR30333767,per_base_n_content,Per base N content,pass,0
raw,SRR30333767,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333767,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333767,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333767,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333767,per_tile_sequence_quality,Per tile sequence quality,pass,0
raw,SRR30333767,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333767,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333768,adapter_content,Adapter Content,fail,3
raw,SRR30333768,basic_statistics,Basic Statistics,pass,0
raw,SRR30333768,overrepresented_sequences,Overrepresented sequences,pass,0
raw,SRR30333768,per_base_n_content,Per base N content,pass,0
raw,SRR30333768,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333768,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333768,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333768,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333768,per_tile_sequence_quality,Per tile sequence quality,pass,0
raw,SRR30333768,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333768,sequence_length_distribution,Sequence Length Distribution,pass,0
trimmed,SRR30333743,adapter_content,Adapter Content,fail,3
trimmed,SRR30333743,basic_statistics,Basic Statistics,pass,0
trimmed,SRR30333743,overrepresented_sequences,Overrepresented sequences,warn,1
trimmed,SRR30333743,per_base_n_content,Per base N content,pass,0
trimmed,SRR30333743,per_base_sequence_content,Per base sequence content,fail,3
trimmed,SRR30333743,per_base_sequence_quality,Per base sequence quality,pass,0
trimmed,SRR30333743,per_sequence_gc_content,Per sequence GC content,warn,1
trimmed,SRR30333743,per_sequence_quality_scores,Per sequence quality scores,pass,0
trimmed,SRR30333743,per_tile_sequence_quality,Per tile sequence quality,fail,3
trimmed,SRR30333743,sequence_duplication_levels,Sequence Duplication Levels,fail,3
trimmed,SRR30333743,sequence_length_distribution,Sequence Length Distribution,warn,1
trimmed,SRR30333744,adapter_content,Adapter Content,fail,3
trimmed,SRR30333744,basic_statistics,Basic Statistics,pass,0
trimmed,SRR30333744,overrepresented_sequences,Overrepresented sequences,warn,1
trimmed,SRR30333744,per_base_n_content,Per base N content,pass,0
