read_id,srr,fastx_total_sequences,fastp_total_sequences,fastx_sequence_length,fastp_sequence_length,fastx_adapter_max,fastp_adapter_max,adapter_max_delta_fastp_minus_fastx,fastx_dominant_signal_label,fastp_dominant_signal_label,fastx_dominant_overrep_pct,fastp_dominant_overrep_pct,fastx_status_adapter_content,fastp_status_adapter_content,direction_adapter_content,fastx_status_overrepresented_sequences,fastp_status_overrepresented_sequences,direction_overrepresented_sequences,fastx_status_per_base_sequence_content,fastp_status_per_base_sequence_content,direction_per_base_sequence_content,fastx_status_sequence_length_distribution,fastp_status_sequence_length_distribution,direction_sequence_length_distribution,fastp_retained_pct,fastp_q20_rate_after,fastp_q30_rate_after
SRR30333761_2,SRR30333761,41844175,41590549,30-151,30-151,31.915001311413118,0.004693373968206094,-31.910307937444912,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,warn,warn,unchanged,warn,warn,unchanged,99.39329546464509,0.969086,0.913105
SRR30333762_1,SRR30333762,40388094,40177953,47-151,30-151,27.724598739420582,0.005995825621081293,-27.7186029137995,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,99.47969567467085,0.9701,0.916983
SRR30333762_2,SRR30333762,40387963,40177953,30-151,30-151,28.97347905364774,0.003989750299125493,-28.969489303348613,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,warn,warn,unchanged,warn,warn,unchanged,99.47969567467085,0.9701,0.916983
SRR30333763_1,SRR30333763,42844247,42565096,33-151,30-151,31.307386496954887,0.004609410489759027,-31.302777086465127,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,99.34845161358537,0.972064,0.922073
SRR30333763_2,SRR30333763,42844155,42565096,30-151,30-151,30.858795091185716,0.005734745670490206,-30.853060345515225,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,warn,warn,unchanged,warn,warn,unchanged,99.34845161358537,0.972064,0.922073
SRR30333764_1,SRR30333764,40512573,40279730,56-151,30-151,30.313887987316924,0.004682255814525072,-30.3092057315024,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,99.42525743798105,0.971651,0.920256
SRR30333764_2,SRR30333764,40512475,40279730,30-151,30-151,30.099600184881325,0.005536283386209391,-30.094063901495115,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,warn,warn,unchanged,warn,warn,unchanged,99.42525743798105,0.971651,0.920256
SRR30333765_1,SRR30333765,40364475,40106350,32-151,30-151,28.849174924237214,0.005096449814056876,-28.844078474423156,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,99.36051195115229,0.96768,0.909738
SRR30333765_2,SRR30333765,40364203,40106350,30-151,30-151,28.926001586108363,0.004089128030847983,-28.921912458077514,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,warn,warn,unchanged,warn,warn,unchanged,99.36051195115229,0.96768,0.909738
SRR30333766_1,SRR30333766,45014719,44711428,47-151,30-151,29.87593458042024,0.005027797367599174,-29.87090678305264,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,99.32623817275771,0.972376,0.921945
SRR30333766_2,SRR30333766,45014642,44711428,30-151,30-151,29.499530397242747,0.005074765225570518,-29.494455632017175,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,warn,warn,unchanged,warn,warn,unchanged,99.32623817275771,0.972376,0.921945
SRR30333767_1,SRR30333767,42072326,41780826,34-151,30-151,30.2297215514065,0.005418753568921782,-30.224302797837577,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,99.3071455093783,0.969581,0.916032
SRR30333767_2,SRR30333767,42072166,41780826,30-151,30-151,30.02306322902415,0.006120032188928003,-30.01694319683522,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,warn,warn,unchanged,warn,warn,unchanged,99.3071455093783,0.969581,0.916032
SRR30333768_1,SRR30333768,41495290,41145131,38-151,30-151,35.43009580123431,0.005614273047277453,-35.42448152818703,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,99.15614760133018,0.965222,0.905892
SRR30333768_2,SRR30333768,41494831,41145131,30-151,30-151,35.52641291634613,0.007286402855297751,-35.51912651349083,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,warn,warn,unchanged,warn,warn,unchanged,99.15614760133018,0.965222,0.905892
