focus_read,stage,stage_label,position,position_end,max_adapter_pct
SRR30333756_2,raw,Raw FASTQ,25-29,29,0.0009333630605918967
SRR30333756_2,raw,Raw FASTQ,30-34,34,0.0011033211211301545
SRR30333756_2,raw,Raw FASTQ,35-39,39,0.0021660612396258785
SRR30333756_2,raw,Raw FASTQ,40-44,44,0.005324950771426779
SRR30333756_2,raw,Raw FASTQ,45-49,49,0.0108439671297093
SRR30333756_2,raw,Raw FASTQ,50-54,54,0.02185949948837802
SRR30333756_2,raw,Raw FASTQ,55-59,59,0.03979991878174383
SRR30333756_2,raw,Raw FASTQ,60-64,64,0.0698511557128027
SRR30333756_2,raw,Raw FASTQ,65-69,69,0.1198991839321087
SRR30333756_2,raw,Raw FASTQ,70-74,74,0.20204718702735436
SRR30333756_2,raw,Raw FASTQ,75-79,79,0.3430681801425261
SRR30333756_2,raw,Raw FASTQ,80-84,84,0.5816804577119232
SRR30333756_2,raw,Raw FASTQ,85-89,89,0.9864128776298348
SRR30333756_2,raw,Raw FASTQ,90-94,94,1.6583824500744178
SRR30333756_2,raw,Raw FASTQ,95-99,99,2.7183803374515283
SRR30333756_2,raw,Raw FASTQ,100-104,104,4.294734116685972
SRR30333756_2,raw,Raw FASTQ,105-109,109,6.485746244258341
SRR30333756_2,raw,Raw FASTQ,110-114,114,9.33349721094001
SRR30333756_2,raw,Raw FASTQ,115-119,119,12.772413339771115
SRR30333756_2,raw,Raw FASTQ,120-124,124,16.709765432563554
SRR30333756_2,raw,Raw FASTQ,125-129,129,20.96209280328865
SRR30333756_2,raw,Raw FASTQ,130-134,134,25.387084304381144
SRR30333756_2,raw,Raw FASTQ,135-139,139,29.86225642508769
SRR30333756_2,raw,Raw FASTQ,140,140,32.52772676915392
SRR30333756_2,fastx,Current FASTX trimmed,1,1,4.017921052913891e-06
SRR30333756_2,fastx,Current FASTX trimmed,2,2,1.8080644738112508e-05
SRR30333756_2,fastx,Current FASTX trimmed,3,3,3.817025000268196e-05
SRR30333756_2,fastx,Current FASTX trimmed,4,4,5.8259855267251415e-05
SRR30333756_2,fastx,Current FASTX trimmed,5,5,0.00010647490790221811
SRR30333756_2,fastx,Current FASTX trimmed,6,6,0.00013058243421970145
SRR30333756_2,fastx,Current FASTX trimmed,7,7,0.00021495877633089316
SRR30333756_2,fastx,Current FASTX trimmed,8,8,0.00022701253948963484
SRR30333756_2,fastx,Current FASTX trimmed,9,9,0.00022701253948963484
SRR30333756_2,fastx,Current FASTX trimmed,10-14,14,0.000376880994763323
SRR30333756_2,fastx,Current FASTX trimmed,15-19,19,0.0005392050053010442
SRR30333756_2,fastx,Current FASTX trimmed,20-24,24,0.0006360369026762689
SRR30333756_2,fastx,Current FASTX trimmed,25-29,29,0.0009333630605918967
SRR30333756_2,fastx,Current FASTX trimmed,30-34,34,0.0011033211211301545
SRR30333756_2,fastx,Current FASTX trimmed,35-39,39,0.0021660612396258785
SRR30333756_2,fastx,Current FASTX trimmed,40-44,44,0.005324950771426779
SRR30333756_2,fastx,Current FASTX trimmed,45-49,49,0.0108439671297093
SRR30333756_2,fastx,Current FASTX trimmed,50-54,54,0.02185949948837802
SRR30333756_2,fastx,Current FASTX trimmed,55-59,59,0.03979991878174383
SRR30333756_2,fastx,Current FASTX trimmed,60-64,64,0.0698511557128027
SRR30333756_2,fastx,Current FASTX trimmed,65-69,69,0.1198991839321087
SRR30333756_2,fastx,Current FASTX trimmed,70-74,74,0.20204718702735436
SRR30333756_2,fastx,Current FASTX trimmed,75-79,79,0.3430681801425261
SRR30333756_2,fastx,Current FASTX trimmed,80-84,84,0.5816804577119232
SRR30333756_2,fastx,Current FASTX trimmed,85-89,89,0.9864128776298348
SRR30333756_2,fastx,Current FASTX trimmed,90-94,94,1.6583824500744178
SRR30333756_2,fastx,Current FASTX trimmed,95-99,99,2.7183803374515283
SRR30333756_2,fastx,Current FASTX trimmed,100-104,104,4.294734116685972
SRR30333756_2,fastx,Current FASTX trimmed,105-109,109,6.485746244258341
SRR30333756_2,fastx,Current FASTX trimmed,110-114,114,9.33349721094001
SRR30333756_2,fastx,Current FASTX trimmed,115-119,119,12.772413339771115
SRR30333756_2,fastx,Current FASTX trimmed,120-124,124,16.709761816434604
SRR30333756_2,fastx,Current FASTX trimmed,125-129,129,20.962085972822862
SRR30333756_2,fastx,Current FASTX trimmed,130-134,134,25.386998722662717
SRR30333756_2,fastx,Current FASTX trimmed,135-139,139,29.858998694697988
SRR30333756_2,fastx,Current FASTX trimmed,140,140,32.48929937220385
SRR30333756_2,fastp,fastp,1,1,2.0973961560810908e-06
SRR30333756_2,fastp,fastp,2,2,1.8876565404729817e-05
SRR30333756_2,fastp,fastp,3,3,3.565573465337855e-05
SRR30333756_2,fastp,fastp,4,4,5.662969621418945e-05
SRR30333756_2,fastp,fastp,5,5,0.00010696720396013563
SRR30333756_2,fastp,fastp,6,6,0.00013213595783310872
SRR30333756_2,fastp,fastp,7,7,0.00021812920023243343
SRR30333756_2,fastp,fastp,8,8,0.00023071357716891998
SRR30333756_2,fastp,fastp,9,9,0.00023071357716891998
SRR30333756_2,fastp,fastp,10-14,14,0.00038592089271892075
SRR30333756_2,fastp,fastp,15-19,19,0.0005541320644366243
SRR30333756_2,fastp,fastp,20-24,24,0.0006535486422348678
SRR30333756_2,fastp,fastp,25-29,29,0.0009639632733348693
SRR30333756_2,fastp,fastp,30-34,34,0.0011414029881393294
SRR30333756_2,fastp,fastp,35-39,39,0.00123452737746933
SRR30333756_2,fastp,fastp,40-44,44,0.0015407472162571694
SRR30333756_2,fastp,fastp,45-49,49,0.0018406748665767652
SRR30333756_2,fastp,fastp,50-54,54,0.002155703769220145
SRR30333756_2,fastp,fastp,55-59,59,0.002504710489592038
SRR30333756_2,fastp,fastp,60-64,64,0.0027492668813910936
SRR30333756_2,fastp,fastp,65-69,69,0.0028486834591893375
SRR30333756_2,fastp,fastp,70-74,74,0.0032291511219024473
SRR30333756_2,fastp,fastp,75-79,79,0.003532854085302989
SRR30333756_2,fastp,fastp,80-84,84,0.003738818387830152
SRR30333756_2,fastp,fastp,85-89,89,0.00412390032208664
SRR30333756_2,fastp,fastp,90-94,94,0.004315602330752452
SRR30333756_2,fastp,fastp,95-99,99,0.004541701636377994
SRR30333756_2,fastp,fastp,100-104,104,0.004790452820489211
SRR30333756_2,fastp,fastp,105-109,109,0.007340886546283819
SRR30333756_2,fastp,fastp,110-114,114,0.01106418420255897
SRR30333756_2,fastp,fastp,115-119,119,0.015781228157585342
SRR30333756_2,fastp,fastp,120-124,124,0.02147272236672699
SRR30333756_2,fastp,fastp,125-129,129,0.027975908888272023
SRR30333756_2,fastp,fastp,130-134,134,0.03458857948916448
SRR30333756_2,fastp,fastp,135-139,139,0.04041137069767681
SRR30333756_2,fastp,fastp,140,140,0.04344546397706371
SRR30333756_2,cutadapt,cutadapt,1,1,2.0572765965798474e-06
SRR30333756_2,cutadapt,cutadapt,2,2,1.851548936921863e-05
SRR30333756_2,cutadapt,cutadapt,3,3,3.703097873843726e-05
SRR30333756_2,cutadapt,cutadapt,4,4,5.7603744704235734e-05
SRR30333756_2,cutadapt,cutadapt,5,5,0.00010697838302215207
SRR30333756_2,cutadapt,cutadapt,6,6,0.00013166570218111023
SRR30333756_2,cutadapt,cutadapt,7,7,0.00021807131923746385
SRR30333756_2,cutadapt,cutadapt,8,8,0.00023041497881694294
SRR30333756_2,cutadapt,cutadapt,9,9,0.00023041497881694294
SRR30333756_2,cutadapt,cutadapt,10-14,14,0.00038388781292179956
SRR30333756_2,cutadapt,cutadapt,15-19,19,0.0005501157619254513
SRR30333756_2,cutadapt,cutadapt,20-24,24,0.0006492764938806
SRR30333756_2,cutadapt,cutadapt,25-29,29,0.0009537534301744174
SRR30333756_2,cutadapt,cutadapt,30-34,34,0.0011277990302450726
SRR30333756_2,cutadapt,cutadapt,35-39,39,0.002130927098737406
SRR30333756_2,cutadapt,cutadapt,40-44,44,0.005306127797898743
SRR30333756_2,cutadapt,cutadapt,45-49,49,0.010870238081008598
SRR30333756_2,cutadapt,cutadapt,50-54,54,0.022025614698303164
SRR30333756_2,cutadapt,cutadapt,55-59,59,0.04019877324185091
SRR30333756_2,cutadapt,cutadapt,60-64,64,0.07060696716057832
