contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048731	system development	8.948088873318991e-20	4155	818	242	25907	['GO:0007275', 'GO:0048856']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0050789	regulation of biological process	4.582885871550224e-19	13108	818	549	25907	['GO:0008150', 'GO:0065007']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007275	multicellular organism development	8.049625697245492e-19	4907	818	269	25907	['GO:0032501', 'GO:0048856']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0030030	cell projection organization	8.755289340961993e-19	1724	818	133	25907	['GO:0016043']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048518	positive regulation of biological process	1.5892037157126425e-18	6447	818	326	25907	['GO:0008150', 'GO:0050789']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0120036	plasma membrane bounded cell projection organization	2.264381510580708e-18	1681	818	130	25907	['GO:0030030']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0022008	neurogenesis	6.5345461814564e-18	1931	818	141	25907	['GO:0007399', 'GO:0030154']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048522	positive regulation of cellular process	2.9887022681650295e-17	6095	818	309	25907	['GO:0009987', 'GO:0048518', 'GO:0050794']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051128	regulation of cellular component organization	3.207797941635944e-17	2537	818	167	25907	['GO:0016043', 'GO:0050794']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0046907	intracellular transport	4.71249300052765e-17	1337	818	110	25907	['GO:0006810', 'GO:0051641', 'GO:0051649']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0050794	regulation of cellular process	5.880558040373538e-17	12715	818	530	25907	['GO:0009987', 'GO:0050789']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0045184	establishment of protein localization	4.288215932456051e-16	1724	818	127	25907	['GO:0008104', 'GO:0051234']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0055085	transmembrane transport	6.29996207658779e-16	1525	818	117	25907	['GO:0006810', 'GO:0009987']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006996	organelle organization	1.6103903236586354e-15	3494	818	203	25907	['GO:0016043']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048699	generation of neurons	1.956308241118548e-15	1672	818	123	25907	['GO:0022008']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0071840	cellular component organization or biogenesis	2.150275204163402e-15	7867	818	366	25907	['GO:0009987']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0016043	cellular component organization	2.248863071666388e-15	7668	818	359	25907	['GO:0071840']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048666	neuron development	4.814384722537009e-15	1302	818	104	25907	['GO:0030182', 'GO:0048468']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0000902	cell morphogenesis	5.6861918298867e-15	1053	818	91	25907	['GO:0009653']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006811	monoatomic ion transport	2.7456589177754163e-14	1235	818	99	25907	['GO:0006810']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0030182	neuron differentiation	3.7921642645230853e-14	1588	818	116	25907	['GO:0030154', 'GO:0048699']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0031175	neuron projection development	4.0686561995525084e-14	1144	818	94	25907	['GO:0048666', 'GO:0120036']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051050	positive regulation of transport	4.360985318766064e-14	936	818	83	25907	['GO:0006810', 'GO:0048518', 'GO:0051049']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0060341	regulation of cellular localization	4.3675937850568334e-14	1068	818	90	25907	['GO:0032879', 'GO:0050794', 'GO:0051641']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0015031	protein transport	4.908734846038757e-14	1448	818	109	25907	['GO:0045184', 'GO:0071705']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006812	monoatomic cation transport	5.5939313713036633e-14	1034	818	88	25907	['GO:0006811']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0034220	monoatomic ion transmembrane transport	6.604842789051908e-14	980	818	85	25907	['GO:0006811', 'GO:0055085']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0140352	export from cell	8.965443611768128e-14	985	818	85	25907	['GO:0006810', 'GO:0009987']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0048519	negative regulation of biological process	1.6353011743049509e-13	5759	818	284	25907	['GO:0008150', 'GO:0050789']
