contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
interaction	bend-point selected genes	GO:BP	GO:0140352	export from cell	1.7293769413950607e-13	985	1605	131	25907	['GO:0006810', 'GO:0009987']
interaction	bend-point selected genes	GO:BP	GO:0042127	regulation of cell population proliferation	1.7566183687633503e-13	1736	1605	196	25907	['GO:0008283', 'GO:0050794']
interaction	bend-point selected genes	GO:BP	GO:0042592	homeostatic process	2.112890110113975e-13	1824	1605	203	25907	['GO:0008150']
interaction	bend-point selected genes	GO:BP	GO:0051246	regulation of protein metabolic process	2.1391910162039608e-13	1667	1605	190	25907	['GO:0019538', 'GO:0060255', 'GO:0080090']
interaction	bend-point selected genes	GO:BP	GO:0001649	osteoblast differentiation	2.57955168423333e-13	226	1605	52	25907	['GO:0001503', 'GO:0030154']
interaction	bend-point selected genes	GO:BP	GO:2000147	positive regulation of cell motility	3.400895300278842e-13	605	1605	94	25907	['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']
interaction	bend-point selected genes	GO:BP	GO:0098657	import into cell	5.041682231665785e-13	900	1605	122	25907	['GO:0006810']
interaction	bend-point selected genes	GO:BP	GO:0098655	monoatomic cation transmembrane transport	1.368742387593407e-12	815	1605	113	25907	['GO:0006812', 'GO:0034220']
interaction	bend-point selected genes	GO:BP	GO:0015031	protein transport	1.5116578790667297e-12	1448	1605	169	25907	['GO:0045184', 'GO:0071705']
interaction	bend-point selected genes	GO:BP	GO:0043412	macromolecule modification	1.5291447651698529e-12	2695	1605	269	25907	['GO:0043170']
interaction	bend-point selected genes	GO:BP	GO:0010604	positive regulation of macromolecule metabolic process	1.9057837671750856e-12	3174	1605	305	25907	['GO:0009893', 'GO:0043170', 'GO:0060255']
interaction	bend-point selected genes	GO:BP	GO:0030282	bone mineralization	5.117236156791376e-12	130	1605	37	25907	['GO:0001503', 'GO:0031214']
interaction	bend-point selected genes	GO:BP	GO:0048729	tissue morphogenesis	5.977835949960222e-12	653	1605	96	25907	['GO:0009653', 'GO:0009888']
interaction	bend-point selected genes	GO:BP	GO:0030001	metal ion transport	8.18029004918886e-12	879	1605	117	25907	['GO:0006812']
interaction	bend-point selected genes	GO:BP	GO:0046903	secretion	8.968786445369163e-12	1069	1605	134	25907	['GO:0006810']
interaction	bend-point selected genes	GO:BP	GO:0032940	secretion by cell	9.00169949873982e-12	913	1605	120	25907	['GO:0046903', 'GO:0140352']
interaction	bend-point selected genes	GO:BP	GO:0061061	muscle structure development	1.2219648405725156e-11	744	1605	104	25907	['GO:0048856']
interaction	bend-point selected genes	GO:BP	GO:0098660	inorganic ion transmembrane transport	1.8480434149197765e-11	889	1605	117	25907	['GO:0055085']
interaction	bend-point selected genes	GO:BP	GO:0097435	supramolecular fiber organization	1.8728877665743644e-11	813	1605	110	25907	['GO:0016043']
interaction	bend-point selected genes	GO:BP	GO:0031214	biomineral tissue development	2.0290083217768054e-11	171	1605	42	25907	['GO:0009888', 'GO:0048513']
interaction	bend-point selected genes	GO:BP	GO:0030199	collagen fibril organization	3.435733798194242e-11	63	1605	25	25907	['GO:0030198', 'GO:0097435']
interaction	bend-point selected genes	GO:BP	GO:0051241	negative regulation of multicellular organismal process	3.585739055207409e-11	1157	1605	140	25907	['GO:0032501', 'GO:0048519', 'GO:0051239']
interaction	bend-point selected genes	GO:BP	GO:1902531	regulation of intracellular signal transduction	4.375475687369176e-11	1858	1605	198	25907	['GO:0009966', 'GO:0035556']
interaction	bend-point selected genes	GO:BP	GO:0051223	regulation of protein transport	5.3272918500766785e-11	503	1605	79	25907	['GO:0015031', 'GO:0051049', 'GO:0070201']
interaction	bend-point selected genes	GO:BP	GO:0043067	regulation of programmed cell death	6.077509291422769e-11	1654	1605	181	25907	['GO:0012501', 'GO:0050794']
interaction	bend-point selected genes	GO:BP	GO:0002009	morphogenesis of an epithelium	6.774427909883496e-11	535	1605	82	25907	['GO:0048729', 'GO:0060429']
interaction	bend-point selected genes	GO:BP	GO:0070201	regulation of establishment of protein localization	8.896493129146913e-11	578	1605	86	25907	['GO:0032880', 'GO:0045184']
interaction	bend-point selected genes	GO:BP	GO:1901698	response to nitrogen compound	9.513275993792161e-11	1183	1605	141	25907	['GO:0042221']
interaction	bend-point selected genes	GO:BP	GO:0072659	protein localization to plasma membrane	9.778917961574321e-11	302	1605	57	25907	['GO:0072657', 'GO:1990778']
interaction	bend-point selected genes	GO:BP	GO:0046907	intracellular transport	1.0256926169389507e-10	1337	1605	154	25907	['GO:0006810', 'GO:0051641', 'GO:0051649']
interaction	bend-point selected genes	GO:BP	GO:0006897	endocytosis	1.3333244322717486e-10	686	1605	96	25907	['GO:0016192', 'GO:0098657']
interaction	bend-point selected genes	GO:BP	GO:0042692	muscle cell differentiation	1.4030602400179768e-10	453	1605	73	25907	['GO:0030154', 'GO:0061061']
interaction	bend-point selected genes	GO:BP	GO:0009790	embryo development	1.5528987115436154e-10	1249	1605	146	25907	['GO:0007275']
interaction	bend-point selected genes	GO:BP	GO:0016310	phosphorylation	1.6155067503176455e-10	1191	1605	141	25907	['GO:0006796']
interaction	bend-point selected genes	GO:BP	GO:0120039	plasma membrane bounded cell projection morphogenesis	1.759757632068653e-10	721	1605	99	25907	['GO:0048858']
interaction	bend-point selected genes	GO:BP	GO:0048667	cell morphogenesis involved in neuron differentiation	2.3202516411085678e-10	650	1605	92	25907	['GO:0000902', 'GO:0048666']
interaction	bend-point selected genes	GO:BP	GO:0098662	inorganic cation transmembrane transport	2.524903427270433e-10	790	1605	105	25907	['GO:0098660']
interaction	bend-point selected genes	GO:BP	GO:0016055	Wnt signaling pathway	2.5992815729846945e-10	439	1605	71	25907	['GO:0007166']
interaction	bend-point selected genes	GO:BP	GO:0048589	developmental growth	2.7142973080314197e-10	780	1605	104	25907	['GO:0032502', 'GO:0040007']
interaction	bend-point selected genes	GO:BP	GO:0009725	response to hormone	3.1326613630819487e-10	1016	1605	125	25907	['GO:0009719', 'GO:0042221']
interaction	bend-point selected genes	GO:BP	GO:0048858	cell projection morphogenesis	3.217759747695353e-10	728	1605	99	25907	['GO:0000902', 'GO:0009653', 'GO:0030030']
interaction	bend-point selected genes	GO:BP	GO:0048812	neuron projection morphogenesis	7.700501893604003e-10	706	1605	96	25907	['GO:0031175', 'GO:0120039']
interaction	bend-point selected genes	GO:BP	GO:1903829	positive regulation of protein localization	9.319891917214263e-10	510	1605	77	25907	['GO:0008104', 'GO:0032880', 'GO:0048522']
interaction	bend-point selected genes	GO:BP	GO:0042981	regulation of apoptotic process	1.0818567794261833e-09	1608	1605	173	25907	['GO:0006915', 'GO:0043067']
interaction	bend-point selected genes	GO:BP	GO:0006886	intracellular protein transport	1.1267788394023253e-09	657	1605	91	25907	['GO:0008104', 'GO:0015031', 'GO:0046907']
interaction	bend-point selected genes	GO:BP	GO:0031344	regulation of cell projection organization	1.1428054964254694e-09	754	1605	100	25907	['GO:0030030', 'GO:0051128']
interaction	bend-point selected genes	GO:BP	GO:0006468	protein phosphorylation	1.211366839891402e-09	1105	1605	131	25907	['GO:0016310', 'GO:0036211']
interaction	bend-point selected genes	GO:BP	GO:0120035	regulation of plasma membrane bounded cell projection organization	1.988079962930672e-09	739	1605	98	25907	['GO:0031344', 'GO:0120036']
interaction	bend-point selected genes	GO:BP	GO:0060284	regulation of cell development	2.6804496279592255e-09	921	1605	114	25907	['GO:0045595', 'GO:0048468']
interaction	bend-point selected genes	GO:BP	GO:1990778	protein localization to cell periphery	2.8038644792561537e-09	392	1605	64	25907	['GO:0008104']
interaction	bend-point selected genes	GO:BP	GO:0007010	cytoskeleton organization	3.768269062848427e-09	1471	1605	160	25907	['GO:0006996']
interaction	bend-point selected genes	GO:BP	GO:1903530	regulation of secretion by cell	3.928727166351931e-09	650	1605	89	25907	['GO:0032940', 'GO:0050794', 'GO:0051046']
interaction	bend-point selected genes	GO:BP	GO:0009611	response to wounding	4.0783242076209185e-09	535	1605	78	25907	['GO:0006950']
interaction	bend-point selected genes	GO:BP	GO:0061024	membrane organization	4.424602353995287e-09	782	1605	101	25907	['GO:0016043']
interaction	bend-point selected genes	GO:BP	GO:0040007	growth	6.596935469727643e-09	1026	1605	122	25907	['GO:0008150']
interaction	bend-point selected genes	GO:BP	GO:0007267	cell-cell signaling	7.57163154436159e-09	1398	1605	153	25907	['GO:0007154', 'GO:0023052']
interaction	bend-point selected genes	GO:BP	GO:0060485	mesenchyme development	7.60283834856877e-09	297	1605	53	25907	['GO:0009888', 'GO:0048513']
interaction	bend-point selected genes	GO:BP	GO:0007417	central nervous system development	9.781670343271218e-09	1032	1605	122	25907	['GO:0007399', 'GO:0048731']
interaction	bend-point selected genes	GO:BP	GO:0003013	circulatory system process	1.0150158658701229e-08	555	1605	79	25907	['GO:0003008']
interaction	bend-point selected genes	GO:BP	GO:0072657	protein localization to membrane	1.3752954777192734e-08	654	1605	88	25907	['GO:0008104', 'GO:0051668']
interaction	bend-point selected genes	GO:BP	GO:0051129	negative regulation of cellular component organization	1.4517445333555584e-08	720	1605	94	25907	['GO:0016043', 'GO:0048523', 'GO:0051128']
interaction	bend-point selected genes	GO:BP	GO:0051093	negative regulation of developmental process	1.4970207659601282e-08	1062	1605	124	25907	['GO:0032502', 'GO:0048519', 'GO:0050793']
interaction	bend-point selected genes	GO:BP	GO:0080090	regulation of primary metabolic process	1.571153854595569e-08	5176	1605	430	25907	['GO:0019222', 'GO:0044238']
interaction	bend-point selected genes	GO:BP	GO:0003012	muscle system process	1.9613493015488692e-08	439	1605	67	25907	['GO:0003008']
interaction	bend-point selected genes	GO:BP	GO:0007169	cell surface receptor protein tyrosine kinase signaling pathway	2.0409446039800795e-08	605	1605	83	25907	['GO:0007167']
interaction	bend-point selected genes	GO:BP	GO:0051216	cartilage development	2.1353545362545167e-08	216	1605	43	25907	['GO:0001501', 'GO:0048513', 'GO:0061448']
interaction	bend-point selected genes	GO:BP	GO:0010975	regulation of neuron projection development	2.2077723396316454e-08	553	1605	78	25907	['GO:0031175', 'GO:0120035']
interaction	bend-point selected genes	GO:BP	GO:0051668	localization within membrane	2.500783142023594e-08	738	1605	95	25907	['GO:0051641']
interaction	bend-point selected genes	GO:BP	GO:0043269	regulation of monoatomic ion transport	2.6790371253325945e-08	442	1605	67	25907	['GO:0006811', 'GO:0051049']
interaction	bend-point selected genes	GO:BP	GO:0060322	head development	2.9548399772085407e-08	796	1605	100	25907	['GO:0048856']
interaction	bend-point selected genes	GO:BP	GO:0072001	renal system development	3.274477272150285e-08	365	1605	59	25907	['GO:0048731']
interaction	bend-point selected genes	GO:BP	GO:0090066	regulation of anatomical structure size	3.321770635402765e-08	547	1605	77	25907	['GO:0065008']
interaction	bend-point selected genes	GO:BP	GO:0001763	morphogenesis of a branching structure	3.6551668705370534e-08	228	1605	44	25907	['GO:0009653', 'GO:0032501']
interaction	bend-point selected genes	GO:BP	GO:0006979	response to oxidative stress	3.657929707206153e-08	415	1605	64	25907	['GO:0006950']
interaction	bend-point selected genes	GO:BP	GO:0009891	positive regulation of biosynthetic process	3.891071975450697e-08	2697	1605	251	25907	['GO:0009058', 'GO:0009889', 'GO:0009893']
interaction	bend-point selected genes	GO:BP	GO:0030155	regulation of cell adhesion	4.829711234996755e-08	769	1605	97	25907	['GO:0007155', 'GO:0050794']
interaction	bend-point selected genes	GO:BP	GO:0010817	regulation of hormone levels	4.879478798767062e-08	626	1605	84	25907	['GO:0065008']
interaction	bend-point selected genes	GO:BP	GO:0034330	cell junction organization	6.379009724056728e-08	898	1605	108	25907	['GO:0016043']
interaction	bend-point selected genes	GO:BP	GO:0048598	embryonic morphogenesis	6.393667564768731e-08	651	1605	86	25907	['GO:0009653', 'GO:0009790']
interaction	bend-point selected genes	GO:BP	GO:0051130	positive regulation of cellular component organization	6.690391580491092e-08	1218	1605	135	25907	['GO:0016043', 'GO:0048522', 'GO:0051128']
interaction	bend-point selected genes	GO:BP	GO:1901342	regulation of vasculature development	6.860922219556707e-08	314	1605	53	25907	['GO:0001944', 'GO:2000026']
