Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
qc_bundle_trimmed | SRR30333760_2	(1.0, 23.053908676217088)	(2.0, 10.763603655981155)	(3.0, 7.392544407995516)	(4.0, 5.580082104562435)	(5.0, 4.284438706044168)	(6.0, 3.4087609132438836)	(7.0, 2.8412689452330695)	(8.0, 2.3723930354816427)	(9.0, 2.0439578869258814)	('>10', 22.90854858410061)	('>50', 5.469717367999061)	('>100', 7.1604941188671125)	('>500', 1.5334170931482083)	('>1k', 1.1744804212089754)	('>5k', 0.012384082991081272)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333761_1	(1.0, 25.743191636385994)	(2.0, 9.80611149679067)	(3.0, 6.459259360005941)	(4.0, 4.820266869305155)	(5.0, 3.709464219553042)	(6.0, 3.134572984758608)	(7.0, 2.547750905278787)	(8.0, 2.2252013653672056)	(9.0, 1.9218583876427886)	('>10', 22.3908861111393)	('>50', 5.688426592260799)	('>100', 7.694894515664526)	('>500', 1.6966305047881631)	('>1k', 1.9900708711169577)	('>5k', 0.17141417994200267)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333761_2	(1.0, 23.50704139959041)	(2.0, 10.619181470482983)	(3.0, 7.209172804315902)	(4.0, 5.416804797934935)	(5.0, 4.134707149594845)	(6.0, 3.3113682662610398)	(7.0, 2.8147258403206217)	(8.0, 2.31108182955279)	(9.0, 2.1051129376236997)	('>10', 22.40675539793181)	('>50', 5.3674157423706985)	('>100', 7.2576008565286205)	('>500', 1.8051039118502519)	('>1k', 1.66077980376665)	('>5k', 0.07314779187444898)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333762_1	(1.0, 22.848218660248)	(2.0, 10.021438194203926)	(3.0, 6.519149419154529)	(4.0, 4.858176620246262)	(5.0, 3.7790076416518805)	(6.0, 3.1450224171599164)	(7.0, 2.7611238018788025)	(8.0, 2.249186336859958)	(9.0, 1.9560667896621489)	('>10', 23.393340613388304)	('>50', 6.09938510441324)	('>100', 8.357883749520319)	('>500', 1.8013302229716384)	('>1k', 2.0192153519627065)	('>5k', 0.16494837926348355)	('>10k+', 0.02650669741506247)
qc_bundle_trimmed | SRR30333762_2	(1.0, 23.522421343025567)	(2.0, 10.660027416965304)	(3.0, 7.180932748869694)	(4.0, 5.361679369617852)	(5.0, 4.148624891438332)	(6.0, 3.329756748509257)	(7.0, 2.769230269228863)	(8.0, 2.423163470642474)	(9.0, 1.9728482216555063)	('>10', 22.363466608139145)	('>50', 5.349795104154244)	('>100', 7.344487281528584)	('>500', 1.820544982847763)	('>1k', 1.6621585353199766)	('>5k', 0.09086300805718338)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333763_1	(1.0, 22.198675736640197)	(2.0, 9.869346066163217)	(3.0, 6.5462583723334715)	(4.0, 4.993882666805642)	(5.0, 3.9499252529131406)	(6.0, 3.1811581427229236)	(7.0, 2.7294453507583007)	(8.0, 2.288951696353625)	(9.0, 2.03198916332564)	('>10', 23.845665809998202)	('>50', 6.215403525600832)	('>100', 8.232539422235886)	('>500', 1.7859448991156819)	('>1k', 1.9599994682655257)	('>5k', 0.1708144267675095)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333763_2	(1.0, 22.67011951603846)	(2.0, 10.83786790929512)	(3.0, 7.368219921745628)	(4.0, 5.595029041738598)	(5.0, 4.1907499766803324)	(6.0, 3.5525611707720337)	(7.0, 2.840986829214047)	(8.0, 2.3921540534558288)	(9.0, 2.000735315686492)	('>10', 22.405990260890476)	('>50', 5.369378579378117)	('>100', 7.437114536032466)	('>500', 1.7362907667442302)	('>1k', 1.50089168501917)	('>5k', 0.10191043730902753)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333764_1	(1.0, 23.13642486321354)	(2.0, 10.252170861829294)	(3.0, 6.853593509011416)	(4.0, 5.006847536732081)	(5.0, 4.138768487132599)	(6.0, 3.1972872594737045)	(7.0, 2.7089024488949156)	(8.0, 2.2515328330666735)	(9.0, 1.9794755007486633)	('>10', 22.733169139626483)	('>50', 5.91788962705964)	('>100', 7.914203731155609)	('>500', 1.8358004156854437)	('>1k', 1.9723711320132638)	('>5k', 0.10156265435675696)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333764_2	(1.0, 23.29699579954042)	(2.0, 10.977320487969902)	(3.0, 7.652678075862665)	(4.0, 5.377908582734727)	(5.0, 4.230573183042352)	(6.0, 3.414292133446801)	(7.0, 2.904571087488692)	(8.0, 2.3590522267644705)	(9.0, 1.9625451475553009)	('>10', 21.80969734376717)	('>50', 5.2532256675916615)	('>100', 7.317400744334826)	('>500', 1.8210524146679476)	('>1k', 1.578561633079257)	('>5k', 0.04412547215339188)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333765_1	(1.0, 26.241109240608047)	(2.0, 9.870659286728532)	(3.0, 6.577016581388666)	(4.0, 4.911127046487429)	(5.0, 3.7349035698695494)	(6.0, 3.054100826747193)	(7.0, 2.5044269091913485)	(8.0, 2.1620438779372515)	(9.0, 1.9395630534403308)	('>10', 22.613035598944823)	('>50', 5.707448305660398)	('>100', 7.502381292461595)	('>500', 1.588437621249237)	('>1k', 1.5258169628308207)	('>5k', 0.06792982645472533)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333765_2	(1.0, 24.60329502196706)	(2.0, 10.628671079929937)	(3.0, 7.3241436266294215)	(4.0, 5.367441504596892)	(5.0, 4.244333527778664)	(6.0, 3.3774275438118813)	(7.0, 2.8032887814811556)	(8.0, 2.350819403438494)	(9.0, 2.0021909161598237)	('>10', 22.016273268124014)	('>50', 5.429639945283506)	('>100', 7.040423381807001)	('>500', 1.581633888896356)	('>1k', 1.2098915577055895)	('>5k', 0.020526552390189388)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333766_1	(1.0, 22.476805648482724)	(2.0, 9.97579843533209)	(3.0, 6.500820592203099)	(4.0, 4.905959923023909)	(5.0, 3.9683597519467844)	(6.0, 3.166560390650673)	(7.0, 2.6847032389296785)	(8.0, 2.3125818497674713)	(9.0, 2.0116858771444757)	('>10', 23.183426356188008)	('>50', 6.028435384467083)	('>100', 8.305235905037991)	('>500', 1.869310781048374)	('>1k', 2.3382875139619097)	('>5k', 0.22379893548414892)	('>10k+', 0.04822941633162438)
qc_bundle_trimmed | SRR30333766_2	(1.0, 22.485919445795755)	(2.0, 10.753545426900311)	(3.0, 7.1983785394642466)	(4.0, 5.492963154100313)	(5.0, 4.167356580367722)	(6.0, 3.3256544910406234)	(7.0, 2.778149404069006)	(8.0, 2.309439390025179)	(9.0, 2.0162268882650647)	('>10', 22.20107707588078)	('>50', 5.409641985855262)	('>100', 7.8002370379424075)	('>500', 1.9406229689378311)	('>1k', 1.9716372249022827)	('>5k', 0.12657450673605836)	('>10k+', 0.02257587971752716)
qc_bundle_trimmed | SRR30333767_1	(1.0, 23.22703109958264)	(2.0, 10.012549621190951)	(3.0, 6.7204954727551725)	(4.0, 5.044151955530865)	(5.0, 3.9655013599566176)	(6.0, 3.228789952378905)	(7.0, 2.6923183895268594)	(8.0, 2.351124492791634)	(9.0, 2.0415579773247257)	('>10', 23.2506352507383)	('>50', 5.932609653067877)	('>100', 8.051713102290076)	('>500', 1.6652923043624308)	('>1k', 1.728722841181558)	('>5k', 0.0875065273215461)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333767_2	(1.0, 23.23803252487884)	(2.0, 10.590945277857983)	(3.0, 7.45124020502793)	(4.0, 5.342251011257501)	(5.0, 4.262145926852871)	(6.0, 3.557689855109445)	(7.0, 2.85625007797503)	(8.0, 2.3038113003844902)	(9.0, 2.1095905450851102)	('>10', 22.503932186575597)	('>50', 5.42921532190107)	('>100', 7.234275969123492)	('>500', 1.6923020408491825)	('>1k', 1.366403710185307)	('>5k', 0.061914046936108885)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333768_1	(1.0, 24.061983716467513)	(2.0, 10.179781208726064)	(3.0, 6.404806531217449)	(4.0, 4.742390476724419)	(5.0, 3.6686175727662467)	(6.0, 2.9462269986556815)	(7.0, 2.4025656553524097)	(8.0, 2.18904389544758)	(9.0, 1.8655563130634472)	('>10', 22.258900173428536)	('>50', 5.990658972242054)	('>100', 8.34765318673997)	('>500', 2.093798018458192)	('>1k', 2.4983323985768586)	('>5k', 0.2703418795920451)	('>10k+', 0.0793430025415924)
qc_bundle_trimmed | SRR30333768_2	(1.0, 25.32810894122616)	(2.0, 10.575456939553183)	(3.0, 7.072599950898445)	(4.0, 5.117923022571083)	(5.0, 4.067037730416502)	(6.0, 3.121502058862004)	(7.0, 2.5493861936547035)	(8.0, 2.1924752619285353)	(9.0, 1.853673775692313)	('>10', 20.92766628879272)	('>50', 5.313598753716444)	('>100', 7.579367640293409)	('>500', 1.9626919530905433)	('>1k', 2.2251471837142764)	('>5k', 0.11336430558987662)	('>10k+', 0.0)
